1,921239
2,552276
3,380364
4,278449
5,210819
6,163138
7,127922
8,102155
9,82112
10,66607
11,53902
12,44982
13,37080
14,31233
15,26212
16,22026
17,18905
18,16167
19,13726
20,11872
21,10349
22,9023
23,7712
24,6850
25,5970
26,5495
27,4682
28,4095
29,3703
30,3428
31,3059
32,2754
33,2411
34,2103
35,2006
36,1771
37,1646
38,1451
39,1397
40,1264
41,1117
42,1060
43,962
44,863
45,842
46,751
47,686
48,640
49,559
50,532
51,527
52,446
53,440
54,381
55,369
56,303
57,316
58,346
59,303
60,275
61,253
62,252
63,210
64,204
65,179
66,167
67,166
68,159
69,148
70,158
71,123
72,123
73,114
74,132
75,108
76,106
77,102
78,90
79,79
80,78
81,76
82,85
83,82
84,58
85,61
86,52
87,72
88,63
89,58
90,54
91,55
92,40
93,54
94,36
95,34
96,31
97,30
98,36
99,36
100,29
101,27
102,21
103,23
104,22
105,16
106,26
107,22
108,20
109,21
110,22
111,22
112,25
113,17
114,23
115,18
116,15
117,14
118,16
119,20
120,20
121,13
122,16
123,15
124,12
125,13
126,12
127,10
128,10
129,11
130,9
131,5
132,8
133,9
134,10
135,5
136,9
137,13
138,9
139,8
140,7
141,8
142,8
143,9
144,11
145,8
146,8
147,4
148,6
149,5
150,3
151,4
152,6
153,6
154,4
155,3
156,5
157,3
158,7
159,1
160,4
161,5
162,5
163,7
164,2
165,2
166,4
167,3
168,5
169,2
170,3
171,3
172,2
173,7
174,5
175,4
176,4
178,2
179,3
180,2
181,2
182,1
183,1
184,3
188,1
189,1
190,2
191,2
192,2
193,4
194,2
195,1
196,1
197,3
198,4
199,2
200,1
201,3
202,1
205,2
206,1
207,2
208,1
210,1
213,2
215,2
216,2
218,2
219,1
220,1
221,3
223,3
225,3
226,1
231,3
232,1
233,4
234,3
235,2
237,2
239,1
240,1
241,1
242,1
243,1
244,1
246,2
248,1
251,3
254,1
261,1
262,1
267,1
273,2
276,1
278,1
279,1
286,1
287,1
289,1
292,1
305,1
311,1
339,1
360,1
382,1
401,1
411,1
605,1
613,1
630,1
633,1
654,1
658,1
678,1
716,1
779,1
